Transaction Name,Organization Name,Funding Type,Money Raised,Announced Date,Funding Stage,Pre-Money Valuation,Equity Only Funding,Organization Description,Organization Industry,Diversity Spotlight (US Only),Organization Website,Organization Location,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Rounds)
Pre Seed Round - LUMOS,LUMOS,Pre-Seed,"$535,842.4720000001",2022-08-30,Seed,,Yes,LUMOS is a MarTech platform with the mission to empower businesses to connect with customers in the right place at the right time,"Ad Retargeting, Advertising Platforms, Big Data, Information Technology, Local Advertising, Marketing Automation, Outdoor Advertising, SaaS, Software",,spotlumos.com/,"Sydney, New South Wales, Australia, Oceania",,"$548,387.0",Seed,2,,"Abraham Robertson, Barry Winata, Claremont Capital, Curt Shi, Dorcas Investments, Hugo de Jong, Matt Perkes",7,,750
Series A - Droppa,Droppa,Series A,,2022-08-11,Early Stage Venture,,Yes,On demand transport service that makes it easier and safer to transport household goods and furniture,Mobile Apps,,www.droppa.co.za/,"Johannesburg, NA - South Africa, South Africa, Africa",Less than $1M,,Early Stage Venture,2,SkyNet Worldwide Express,SkyNet Worldwide Express,1,,751
Series B - Cap Hill Brands,Cap Hill Brands,Series B,"$100,000,000.0",2022-09-08,Early Stage Venture,,Yes,Cap Hill Brands is a consumer products company that invests in and operates great e-commerce and DTC brands.,"B2C, Consumer Goods, E-Commerce",,www.caphillbrands.com,"Seattle, Washington, United States, North America",$1M to $10M,"$250,000,000.0",Early Stage Venture,3,BlackRock,"Ascend, BlackRock, Maveron, Version One Ventures",4,,752
Seed Round - Neurons,Neurons,Seed,"$5,996,625.42",2022-08-25,Seed,,Yes,Neurons is a consumer neuroscience company using neuroscience tools to better understand and improve the consumer experience.,"Artificial Intelligence, Consumer Research, Marketing, Neuroscience, Software",,neuronsinc.com,"Taastrup, Hovedstaden, Denmark, Europe",,"$8,352,483.0",Seed,2,,"Fairpoint Capital, Finance Zealand, Vaekstfonden",3,,753
Seed Round - Medoma,Medoma,Seed,"$5,996,625.42",2022-09-06,Seed,,Yes,Medoma is a virtual acute ward that offers tech-enabled acute care in the patient's home through its hospital home services.,Health Care,,www.medoma.com,"Stockholm, Stockholms Lan, Sweden, Europe",,"$7,063,083.0",Seed,2,"Bonnier Ventures, Inventure","Bonnier Ventures, Cherry Ventures, Inventure, VNV Global",4,,754
Seed Round - Floryo,Floryo,Seed,"$1,600,000.0",2022-08-26,Seed,,Yes,The company Floryo sells processed flour.,"Food and Beverage, Food Processing",,floryo.com,"Bangalore, Karnataka, India, Asia",,"$2,000,000.0",Seed,2,3one4 Capital,"3one4 Capital, Abhay Hanjura, Aman Gupta, Kunal Shah, Rishi Vasudev, Sameer Mehta, Varun Alagh, Vivek Gupta",8,,755
Seed Round - Demoleap,Demoleap,Seed,"$4,400,000.0",2022-08-18,Seed,,Yes,"SaaS software. Demoleap guides your teams in real-time to run perfect qualification, discovery and live sales demos.",Software,,www.demoleap.com/,"Wilmington, Delaware, United States, North America",,"$4,400,000.0",Seed,2,"Bonfire Ventures, Differential Ventures","25madison, Bonfire Ventures, Differential Ventures, Ground Up Ventures",4,,756
Series A - Onsite,Onsite,Series A,"$1,500,000.0",2022-09-02,Early Stage Venture,,Yes,Onsite is a single app that you can use to manage all of your construction projects.,"Apps, Construction",,onsiteteams.com,"New Delhi, Delhi, India, Asia",,"$1,500,000.0",Early Stage Venture,1,Foundamental,"Abhishek Goyal, Archit Rathi, Artha India Ventures, Ashish Sharma, Foundamental, Kunal Sinha, Madhumala Ventures, Manish Kumar, Manvi Chandak, Pankaj Raina, Prashan Agarwal, Rahul Garg, Ravi Garikipati, Redbay Ventures, Sandeep Saboo, Tonmoy Shingal, Varun Alagh",17,,757
Seed Round - Ark Kapital,Ark Kapital,Seed,"$14,991,563.55",2022-08-05,Seed,,Yes,Ark Kapital is a precision financing company that empowers technology businesses to grow faster.,"Financial Services, FinTech",,www.arkkapital.com/,"Stockholm, Stockholms Lan, Sweden, Europe",,"$330,314,116.885",Seed,4,Annika Falkengren,"Annika Falkengren, Creandum, LocalGlobe, Timo Soininen",4,,758
Secondary Market - Accordion,Accordion,Secondary Market,,2022-09-09,,,No,Accordion is a private equity-focused financial consulting and technology firm.,"Consulting, Financial Services, FinTech, Information Technology",,www.accordion.com,"New York, New York, United States, North America",$1M to $10M,,Private Equity,2,Charlesbank Capital Partners,"Charlesbank Capital Partners, Motive Partners",2,,759
Seed Round - Stitch,Stitch,Seed,"$2,864,650.75",2022-09-09,Seed,,Yes,Stitch measures each patient's experience during clinical trials to improve them.,Health Care,,www.stitchhealth.co/,"London, England, United Kingdom, Europe",,"$2,864,650.75",Seed,1,Connect Ventures,"Boost Capital, Connect Ventures, Form Ventures",3,,760
Series C - ACELYRIN,ACELYRIN,Series C,"$300,000,000.0",2022-09-13,Late Stage Venture,,Yes,"ACELYRIN is a biopharma company that identifies, acquires, and accelerates the development and commercialization of life-changing therapies.","Biopharma, Biotechnology, Health Care",,acelyrin.com/,"Los Angeles, California, United States, North America",,"$558,000,000.0",Late Stage Venture,3,Access Biotechnology,"Access Biotechnology, Cowen Healthcare Investments, Decheng Capital, Marshall Wace, Matrix Capital Management, OrbiMed, Samsara BioCapital, Surveyor Capital, Tybourne Capital Management, venBio Partners, Westlake Village BioPartners",11,,761
Convertible Note - Kide Science,Kide Science,Convertible Note,"$999,437.57",2022-08-04,,,No,The most engaging model with a platform to give teachers the confidence to teach inquiry-based lessons with play and stories to children.,"Child Care, E-Learning, EdTech, Education, Edutainment, STEM Education",,kidescience.com/en/,"Helsinki, Southern Finland, Finland, Europe",,"$3,647,947.1305",Seed,4,Sparkmind.vc,"Business Finland, Sparkmind.vc, Tesi",3,,762
Seed Round - Prolocor,Prolocor,Seed,"$3,200,000.0",2022-08-16,Seed,,Yes,Prolocor is a biotechnology company that develops diagnostic tests for cardiovascular diseases.,"Biotechnology, Health Care, Health Diagnostics, Medical",,prolocor.com,"Philadelphia, Pennsylvania, United States, North America",,"$5,200,000.0",Seed,2,Green Park &amp; Golf Ventures,"Green Park &amp; Golf Ventures, LabCorp",2,,763
Series C - ChainCraft,ChainCraft,Series C,"$10,993,813.27",2022-09-06,Late Stage Venture,,Yes,ChainCraft develops mixed culture fermentation technologies in order to produce sustainable biobased chemicals.,"Agriculture, Biotechnology, Manufacturing",,www.chaincraft.nl,"Amsterdam, Noord-Holland, The Netherlands, Europe",$1M to $10M,"$17,650,002.0",Late Stage Venture,4,Convent Capital,"Convent Capital, Horizon 3, PDENH, SHIFT Invest",4,,764
Venture Round - Solar Monkey,Solar Monkey,Venture - Series Unknown,"$3,997,750.28",2022-08-18,,,Yes,Solar panels with guaranteed returns.,"Clean Energy, Solar",,www.solarmonkey.nl/,"Amsterdam, Noord-Holland, The Netherlands, Europe",,"$5,387,179.0",,4,"Eneco Ventures, Helen Ventures","4impact, Eneco Ventures, Helen Ventures, InnovationQuarter",4,,765
Seed Round - TotallyAwesome,TotallyAwesome,Seed,"$9,377,243.26",2022-08-17,Seed,,Yes,"TotallyAwesome is the digital engagement company that helps brands safely interact with kids, teens and families.","Ad Exchange, Ad Network, Cyber Security, Digital Media, Software",,www.totallyawesome.tv/,"Singapore, Central Region, Singapore, Asia",,"$14,704,363.0",Seed,3,,"Partners for Growth, yefira group",2,,766
Pre Seed Round - Upkid,Upkid,Pre-Seed,"$1,700,000.0",2022-08-28,Seed,,Yes,Upkid is a marketplace of on-demand childcare teachers to better staff daycares and preschools.,"Child Care, Children, Marketplace",,www.joinupkid.com/,"Eagle Mountain, Utah, United States, North America",,"$1,700,000.0",Seed,2,,"Beehive Venture Partners, Corazon Capital, Newfund",3,,767
Series A - Pagaleve,Pagaleve,Series A,"$25,000,000.0",2022-08-29,Early Stage Venture,,Yes,Pagaleve is an installment payment platform.,"Apps, Financial Services, Payments",,www.pagaleve.com.br,"São Paulo, Sao Paulo, Brazil, South America",,"$25,000,000.0",Early Stage Venture,2,Salesforce Ventures,"Entrée Capital, Founder Collective, Janeiro Energy, Our Innovation Fund, Salesforce Ventures, Scale-Up Ventures",6,,768
Venture Round - Cera,Cera,Venture - Series Unknown,"$148,961,839.0",2022-08-04,,,Yes,"Cera is a digital-first home healthcare company that delivers care, nursing, telehealth, and repeat prescriptions.","Elder Care, Health Care, Health Diagnostics, Mobile Apps, Personal Health, Service Industry, Wellness",,cerahq.com,"London, England, United Kingdom, Europe",,"$407,237,366.0",,7,Kairos,"8090 Partners, Guinness Ventures, Jane Street Capital, Kairos, Oltre Impact, Robin Klein, Schroders Capital, Squarepoint Capital, Vanderbilt University Office of Investments, Yabeo Capital",10,,769
Series B - Hone,Hone,Series B,"$30,000,000.0",2022-09-13,Early Stage Venture,,Yes,"Hone provides effective, engaging, and scalable management training to help high-growth companies thrive.","Business Development, Corporate Training, E-Learning, Productivity Tools","Hispanic / Latine Founded, Hispanic / Latine Led, Women Founded",www.honehq.com,"Encinitas, California, United States, North America",$1M to $10M,"$52,350,000.0",Early Stage Venture,5,3L Capital,"3L Capital, Cowboy Ventures, F-Prime Capital, Slack Fund",4,,770
Series A - Northbeam,Northbeam,Series A,"$15,000,000.0",2022-08-16,Early Stage Venture,,Yes,Northbeam is a platform for marketing measurement that uses machine learning for DTC and ecommerce brands.,"Information Technology, Machine Learning",,www.northbeam.io/,"San Francisco, California, United States, North America",,"$15,000,000.0",Early Stage Venture,1,Silversmith Capital Partners,"Lorimer Ventures, Silversmith Capital Partners",2,,771
Private Equity Round - EverVet Partners,EverVet Partners,Private Equity,,2022-08-16,Private Equity,,Yes,EverVet Partners specializes in the acquisition and development of independent veterinary hospitals.,"Health Care, Hospital, Pet, Veterinary",,evervetpartners.com,"Philadelphia, Pennsylvania, United States, North America",,,Private Equity,2,Freeman Spogli,Freeman Spogli,1,,772
Seed Round - Violet,Violet,Seed,"$5,300,000.0",2022-08-15,Seed,,Yes,Violet is a platform that helps the healthcare industry deliver more inclusive services.,"Health Care, Medical, mHealth",,www.joinviolet.com,"New York, New York, United States, North America",,"$6,800,000.0",Seed,2,"Hopelab, Naomi Allen, SemperVirens Northwell Holdings, The Venture Collective","Hopelab, Naomi Allen, SemperVirens Northwell Holdings, The Venture Collective",4,,773
Grant - Telehealth ReseArch Center of Excellence (TRACE),Telehealth ReseArch Center of Excellence (TRACE),Grant,"$5,700,000.0",2022-08-18,,,No,TRACE dedicated to advancing the nation’s telehealth research agenda focused on improving cancer-related care and outcomes.,Health Care,,pc3i.upenn.edu/projects/penn-trace/,,,"$5,700,000.0",,1,National Cancer Institute,National Cancer Institute,1,,774
Series A - Pretzel Therapeutics,Pretzel Therapeutics,Series A,"$72,500,000.0",2022-09-12,Early Stage Venture,,Yes,Pretzel Therapeutics mission is to develop groundbreaking therapies to reverse mitochondrial dysfunction through mitochondrial biology.,"Biotechnology, Pharmaceutical, Therapeutics",,www.pretzeltx.com/,"Waltham, Massachusetts, United States, North America",,"$72,500,000.0",Early Stage Venture,2,"ARCH Venture Partners, Mubadala Capital Ventures","Angelini Ventures, ARCH Venture Partners, Cambridge Innovation Capital, EIR Ventures, GU Ventures, GV, HealthCap, Invus, Karolinska, Mubadala Capital Ventures, University of Cambridge Enterprise",11,,775
Debt Financing - Triller,Triller,Debt Financing,,2022-08-29,,,No,"Triller is an AI-powered music video app that enables anyone to make professional videos, effortlessly.","Content, Music, Social Network, Software",,www.triller.co,"Los Angeles, California, United States, North America",$10M to $50M,"$333,000,000.0",,6,,,,,777
Seed Round - VitaDAO,VitaDAO,Seed,"$500,000.0",2022-08-28,Seed,,Yes,VitaDAO is a decentralized collective funding early stage longevity research.,Product Research,,www.vitadao.com/,"New York, New York, United States, North America",,"$500,000.0",Seed,1,Pfizer Venture Investments,Pfizer Venture Investments,1,,776
Pre Seed Round - dWallet Labs,dWallet Labs,Pre-Seed,"$5,000,000.0",2022-08-18,Seed,,Yes,dWallet Labs provides a web3 control solution.,Internet,,dwalletlabs.com/,"Tel Aviv, Tel Aviv, Israel, Asia",,"$5,000,000.0",Seed,1,"Digital Currency Group, Node Capital","Amplify Partners, Cerulean Ventures, Collider, Digital Currency Group, Dispersion Capital, Earl Grey Capital, Heroic Ventures, Impatient Ventures, Lemniscap, Lightshift Capital, Liquid 2 Ventures, Node Capital, Token Bay Capital, Tykhe Block Ventures, Zero Knowledge",15,,778
Debt Financing - Gotham Greens,Gotham Greens,Debt Financing,,2022-09-12,,,No,Gotham Greens develops commercial-scale greenhouse facilities intended for sustainable vegetable production.,"Agriculture, Farming, Organic Food, Sustainability",,gothamgreens.com/,"Brooklyn, New York, United States, North America",,"$435,149,100.0",Late Stage Venture,8,,,0,,779
Seed Round - Dust Labs,Dust Labs,Seed,"$7,000,000.0",2022-09-06,Seed,,Yes,Dust Labs is building software that helps NFT communities bring more value to their holders.,"Blockchain, Cryptocurrency",,www.dustlabs.com/,,,"$7,000,000.0",Seed,1,,"Big Brain Holdings, Chapter One Ventures, Foundation Capital, FTX Ventures, Hyperspace Capital, Jump Capital, Jupiter, Magic Eden, Metaplex Studios, Mysten Labs, Solana Ventures, Unlock Venture Partners",12,,780
Seed Round - TigerEye,TigerEye,Seed,"$5,000,000.0",2022-01-01,Seed,,Yes,TigerEye is a sales solution company.,,,www.tigereye.com/,"San Francisco, California, United States, North America",,"$35,000,000.0",Early Stage Venture,2,,"Sterling Road, SV Angel, Y Combinator",3,,781
Series B - tZERO,tZERO,Series B,"$15,000,000.0",2022-08-26,Early Stage Venture,,Yes,tZERO is a marketplace to trade digital private securities and open a brokerage account.,"Blockchain, Financial Services, FinTech, Marketplace",,www.tzero.com,"New York, New York, United States, North America",$50M to $100M,"$159,000,000.0",Early Stage Venture,7,Overstock,"Overstock, XSpring Capital",2,,782
Angel Round - EagleChip,EagleChip,Angel,"$40,956,901.7",2022-08-31,Seed,,Yes,EagleChip operates as a chip design company.,"Electronics, Field-Programmable Gate Array (FPGA), Semiconductor",,eaglechip.com,"Suzhou, Jiangsu, China, Asia",,"$40,956,901.7",Seed,1,,"CTC Capital, Jingwei China, Matrix Partners China, Redpoint Ventures China, Sequoia Capital China, Vlight Capital",6,,783
Series B - DoraHacks,DoraHacks,Series B,,2022-08-29,Early Stage Venture,,Yes,Hackers community and hackathon organizer,"Communities, Information Services, Information Technology",,dorahacks.io/,"San Francisco, California, United States, North America",$1M to $10M,"$28,000,000.0",Early Stage Venture,8,EMURGO,"Binance Labs, Circle Ventures, Crypto.com Capital, EMURGO, FTX Ventures, Gemini Frontier Fund, Sky9 Capital",7,,784
Series A - Ozette Technologies,Ozette Technologies,Series A,"$26,000,000.0",2022-07-28,Early Stage Venture,,Yes,Ozette is a life sciences data startup company that develops an artificial intelligence-enabled immune monitoring platform.,"Artificial Intelligence, Biotechnology, Health Care, Health Diagnostics, Life Science, Machine Learning",,www.ozette.com,"New York, New York, United States, North America",$1M to $10M,"$32,000,000.0",Early Stage Venture,2,Madrona Venture Group,"Alexandria Venture Investments, Cercano Management, Duke University, M12 - Microsoft's Venture Fund, Madrona Venture Group, OCV",6,,785
Series A - CNC24,CNC24,Series A,"$8,245,359.9525",2022-08-04,Early Stage Venture,,Yes,Manufacturing as a service,"Industrial, Manufacturing, Mechanical Engineering",,www.cncteile24.de,"Berlin, Berlin, Germany, Europe",,"$8,454,567.0",Early Stage Venture,2,"Future Industry Ventures, Redstone, The Delta","coparion, Dario Fazlic, EquityPitcher Ventures, Future Industry Ventures, Redstone, Seedcamp, The Delta",7,,786
Series G - CureApp,CureApp,Series G,"$48,946,128.0",2022-08-16,Late Stage Venture,,Yes,CureApp is a digital health startup,"Content, Health Care, Medical",,cureapp.co.jp/,"Tokyo, Tokyo, Japan, Asia",Less than $1M,"$2,289,590,236.0",Late Stage Venture,6,The Carlyle Group,The Carlyle Group,1,,787
Venture Round - Dropbase,Dropbase,Venture - Series Unknown,"$1,750,000.0",2022-08-11,,,Yes,Dropbase is a platform that turns CSV and Excel files to live databases,"Database, Information Technology, Software",,dropbase.io/,"San Francisco, California, United States, North America",,"$1,750,000.0",,2,Gradient Ventures,"Bragiel Brothers, Gradient Ventures, Liquid 2 Ventures, Unpopular Ventures, Y Combinator",5,,788
Equity Crowdfunding - HOMETAINMENT,HOMETAINMENT,Equity Crowdfunding,"$447,239.5878327",2022-07-01,,"$3,437,580.9000000004",Yes,"HOMETAINMENT is the platform where they can book premium food, drinks, music, arts and crafts and children's experiences to enjoy at home.","Catering, Events, Food and Beverage, Hospitality",,www.hometainment.com/,"London, England, United Kingdom, Europe",,"$593,909.7062327",,2,,,,,789
Post-IPO Equity - Arecor,Arecor,Post-IPO Equity,"$6,875,161.800000001",2022-08-01,,,Yes,Arecor is a leader in developing superior biopharmaceuticals through the application of its innovative formulation technology platform.,"Biopharma, Biotechnology, Education, Pharmaceutical",,www.arecor.com,"Little Chesterford, Essex, United Kingdom, Europe",$1M to $10M,"$34,815,243.0",IPO,11,,"Andrew J M Richards, BGF Ventures, Christine Soden, Jeremy Morgan, Sam Fazeli, Sarah Howell, Susan Lowther",7,,790
Venture Round - Elestor,Elestor,Venture - Series Unknown,"$29,983,127.1",2022-08-30,,,Yes,Cutting the cost of electricity storage is their mission.,"Energy, Real Estate, Renewable Energy, Solar",,www.elestor.nl/,"Arnhem, Gelderland, The Netherlands, Europe",,"$29,983,127.1",,1,"Equinor Ventures, Invest-NL","Enfuro Ventures, Equinor Ventures, InnoEnergy, Invest-NL, Somerset Capital, Vopak Ventures",6,,791
Funding Round - Paubox,Paubox,Funding Round,"$10,000,000.0",2022-08-18,,,Yes,Paubox mission is to provide market leadership in the HIPAA compliant email space.,"Cloud Security, Email, Enterprise Software, Health Care, Information Technology",,www.paubox.com,"San Francisco, California, United States, North America",$1M to $10M,"$14,800,000.0",,5,Arthur Ventures,Arthur Ventures,1,,792
Series C - Black Sesame Technologies,Black Sesame Technologies,Series C,,2022-08-08,Late Stage Venture,,Yes,Black Sesame Technologies is an AI digital imaging technology firm that creates solutions for real-world AI challenges.,"Artificial Intelligence, Automotive, Machine Learning",,bst.ai/,"Santa Clara, California, United States, North America",,"$115,000,000.0",Late Stage Venture,5,Summitview Capital,"Ei Camino Capital, GF Xinde Investment Management, Industrial Bank, Northbeta Yinuo Capital, Summitview Capital, The Hina Group, Xin Ding Capital, Yangzijiang Fund",8,,793
Series C - Cybrary,Cybrary,Series C,"$25,000,000.0",2022-08-02,Late Stage Venture,,Yes,Cybrary is a cybersecurity platform that offers cybersecurity workforce education and training services for IT professionals.,"Cyber Security, EdTech, Education, Information Technology, Training",,www.cybrary.it,"Riverdale, Maryland, United States, North America",$10M to $50M,"$47,799,916.0",Late Stage Venture,6,"BuildGroup, Gula Tech Adventures","BuildGroup, Gula Tech Adventures",2,,794
Equity Crowdfunding - GROUNDFLOOR,GROUNDFLOOR,Equity Crowdfunding,"$705,052.0",2022-08-31,,"$243,000,000.0",Yes,GROUNDFLOOR is a crowdsourced real estate investing and lending platform that makes private capital markets open to all.,"FinTech, Lending, Personal Finance, Real Estate Investment",,www.groundfloor.us/,"Atlanta, Georgia, United States, North America",$10M to $50M,"$35,455,052.0",,11,,,,,795
Venture Round - EDJX,EDJX,Venture - Series Unknown,"$11,998,775.0",2022-08-08,,,Yes,EDJX is an edge computing platform powering real-time applications.,"Cloud Computing, Content Delivery Network, Developer Tools, Enterprise Software, Industrial Automation, Internet, Security, Smart Cities, Software, Telecommunications",,edjx.io/,"Raleigh, North Carolina, United States, North America",,"$35,763,357.0",,6,Intersouth Partners,Intersouth Partners,1,,796
Seed Round - Risc Zero.,Risc Zero.,Seed,"$12,000,000.0",2022-08-09,Seed,,Yes,"Risc Zero builds scaling solutions using Zero Knowledge Proofs which will make blockchains faster, cheaper and more accessible.","Developer Tools, Information Technology, Software",,www.risczero.com/,"Seattle, Washington, United States, North America",,"$14,000,000.0",Seed,2,Bain Capital Crypto,"Bain Capital Crypto, Calvin Liu, Cota Capital, D1 Ventures, Eva Beylin, Geometry Research, Jinglan Wang, Kain Warwick, Lev Livnev, Lucas Vogelsang, Marvin Ammori, Meltem Demirors, Tegan Kline",13,,797
Seed Round - Faceki,Faceki,Seed,,2022-08-15,Seed,,Yes,FACEKI is a real-time identity verification platform with advance biometric technology powered by AI.,"Artificial Intelligence, Biometrics, Cyber Security, Developer APIs, Facial Recognition, Identity Management, Information Technology",,faceki.com/,"Manama, Al Manamah, Bahrain, Asia",,,Seed,3,"Nama Ventures, Tenmou","Nama Ventures, Tenmou, Vision Ventures",3,,798
Convertible Note - MetaCX,MetaCX,Convertible Note,"$5,100,000.0",2022-09-02,,,No,MetaCX is pioneering a new outcomes-based approach for managing the entire B2B customer lifecycle.,"Business Development, Information Technology, SaaS",,metacx.com,"Indianapolis, Indiana, United States, North America",$1M to $10M,"$33,601,454.0",,5,,,,,799
Series A - PreciPoint,PreciPoint,Series A,"$9,994,375.7",2022-07-27,Early Stage Venture,,Yes,PreciPoint creates exceptional innovations and quality in microscopy and for micropositioning systems.,"Health Care, Health Diagnostics, Industrial Engineering, Software",,www.precipoint.com,"Freising, Bayern, Germany, Europe",,"$10,766,886.0",Early Stage Venture,4,bm-t beteiligungsmanagement thuringen,bm-t beteiligungsmanagement thuringen,1,,800
Seed Round - OLL,OLL,Seed,"$112,687.308",2022-09-08,Seed,,Yes,"OLL is a live experiential learning marketplace for Trending Skills of 21st Century, taught by verified quality educators.","E-Learning, EdTech, Education, Marketplace, Tutoring",,www.oll.co,"Mumbai, Maharashtra, India, Asia",,"$132,920.0",Seed,2,We Founder Circle,"Bhawna Bhatnagar, Deepesh Hinduja, Gaurav VK Singhvi, Harsh Metha, Manan S Patel, Milan Modi, Mili Shrivastava, Monica Gupta, Neeraj Tyagi, Rahul Hingmire, Sandeep Balaji, We Founder Circle",12,,801
Series A - txtsmarter,txtsmarter,Series A,,2022-08-24,Early Stage Venture,,Yes,"txtsmarter collects, encrypts &amp; archives all iMessages, Android, WhatsApp &amp; social chats in real time mitigating compliance data leaks","IaaS, PaaS, SaaS, Software",,txtsmarter.com/,"San Mateo, California, United States, North America",$1M to $10M,,Early Stage Venture,1,Carolina Financial Group,Carolina Financial Group,1,,802
Private Equity Round - Benson for Beds,Benson for Beds,Private Equity,,2022-08-17,Private Equity,,Yes,Benson for Beds is a company dedicated to ensuring customers get a great night’s sleep.,Retail,,www.bensonsforbeds.co.uk/,"Cheltenham, Gloucestershire, United Kingdom, Europe",,,Private Equity,1,Alteri Investors,Alteri Investors,1,,803
Private Equity Round - Digicomm International,Digicomm International,Private Equity,,2022-08-16,Private Equity,,Yes,Digicomm is a value-added broadband distributor and reseller.,"Service Industry, Telecommunications",,digicomm.com/,"Englewood, Colorado, United States, North America",,,M&amp;A,1,Crestview Partners,Crestview Partners,1,,804
Series A - Biza.io,Biza.io,Series A,"$7,500,000.0",2022-08-15,Early Stage Venture,,Yes,Leaders in technology to deliver Open Banking and the Consumer Data Right,"Banking, Financial Services, FinTech, Internet, Open Source",,www.biza.io/,"Sydney, New South Wales, Australia, Oceania",Less than $1M,"$7,500,000.0",Early Stage Venture,1,"Jelix Ventures, Our Innovation Fund","Jelix Ventures, Our Innovation Fund",2,,805
Venture Round - TNG Digital,TNG Digital,Venture - Series Unknown,"$165,389,437.5",2022-07-25,,,Yes,TNG Digital is an e-wallet operator of digital wallet and online payment platform for urban mobility.,"Finance, FinTech, Mobile Payments, Payments",,www.tngdigital.com.my,"Kuala Lumpur, Kuala Lumpur, Malaysia, Asia",,"$243,406,871.0",,2,Lazada Group,"Lazada Group, Touch n Go",2,,806
Venture Round - Eat Just,Eat Just,Venture - Series Unknown,"$25,000,000.0",2022-08-17,,,Yes,Eat Just offers a plant-based egg substitute intended to provide healthy and nutritional food alternatives.,"Biotechnology, Food and Beverage, Food Processing, Nutrition, Organic Food",,ju.st,"San Francisco, California, United States, North America",,"$465,000,000.0",,12,C2 Capital Partners,C2 Capital Partners,1,,807
Series B - Frontdesk,Frontdesk,Series B,"$13,000,000.0",2022-09-13,Early Stage Venture,,Yes,Frontdesk powers short-term stays for modern dynamic living.,"Hospitality, Property Management, Software, Travel Accommodations, Vacation Rental",,stayfrontdesk.com,"Milwaukee, Wisconsin, United States, North America",$1M to $10M,"$20,997,262.0",Early Stage Venture,3,Stormbreaker Ventures,"Golden Angels Investors, JetBlue Technology Ventures, Lancaster Investments, Milwaukee Venture Partners, Motivate Venture Capital, Sand Hill Angels, Stormbreaker Ventures, Swingbridge, Veritas Investments, Wisconsin Investment Partners",10,,808
Seed Round - Humans Anonymous,Humans Anonymous,Seed,"$1,700,000.0",2022-09-02,Seed,,Yes,Humans Anonymous is an anonymous live audio platform that facilitates safe spaces for communities of people with similar life experiences.,,,humansanon.com/,"Los Angeles, California, United States, North America",,"$1,700,000.0",Seed,1,"Backend Capital, Glass Ventures","Authentic Ventures, Backend Capital, Glass Ventures, Ten VC",4,,809
Seed Round - Olive Diagnostics,Olive Diagnostics,Seed,"$1,500,000.0",2022-05-25,Seed,,Yes,100% passive sensor mounted to the toilet which optically performs continuous urinalysis to detect and monitor key vital health indicators,"Artificial Intelligence, Health Care, Medical Device",,www.olive.earth,"Jerusalem, Yerushalayim, Israel, Asia",$1M to $10M,"$7,000,000.0",Seed,3,,"Amgen Ventures, eHealth Ventures, Israel Innovation Authority, Maccabi Fund, Mayo Clinic",5,,810
Series D - Econic Technologies,Econic Technologies,Series D,"$11,916,947.120000001",2022-08-09,Late Stage Venture,,Yes,Econic Technologies&nbsp;develops new catalysts and processes for the manufacture of polymers from CO2.,"Chemical, Manufacturing, Plastics and Rubber Manufacturing, Waste Management",,www.econic-technologies.com,"London, England, United Kingdom, Europe",$1M to $10M,"$46,778,577.0",Late Stage Venture,12,,"CM Venture Capital, GC Ventures, ING Sustainable Investments",3,,811
Venture Round - Lumu,Lumu,Venture - Series Unknown,"$8,000,000.0",2022-08-04,,,Yes,Lumu is a cybersecurity company that helps enterprises identify and isolate cyber-compromise in real-time.,"Business Intelligence, Cyber Security, Network Security, Productivity Tools, Software","Hispanic / Latine Founded, Hispanic / Latine Led",lumu.io,"Doral, Florida, United States, North America",,"$15,500,000.0",,3,Panoramic Ventures,"Exceptional Capital, KnowBe4 Ventures, Lane Bess, Panoramic Ventures, SB Opportunity Fund, Simma Capital, Tom Noonan",7,,812
Series B - Shopic,Shopic,Series B,"$35,000,000.0",2022-08-09,Early Stage Venture,,Yes,Shopic provides a Frictionless Shopping experience for medium and large grocery stores.,"Retail Technology, Shopping",,www.shopic.co,"Tel Aviv, Tel Aviv, Israel, Asia",,"$56,000,000.0",Early Stage Venture,7,Qualcomm Ventures,"Clal Insurance Enterprises Holdings, IBI Tech Fund, Qualcomm Ventures, Shufersal, Tal Ventures, Vintage Investment Partners",6,,813
Series B - Parafin,Parafin,Series B,"$60,000,000.0",2022-08-02,Early Stage Venture,"$460,000,000.0",Yes,"Parafin is a FinTech startup that helps small businesses fill their cash flow needs, invest in their growth, and run their business.","Financial Services, FinTech, Infrastructure, Small and Medium Businesses",,www.parafin.com,"San Francisco, California, United States, North America",$1M to $10M,"$244,000,000.0",Early Stage Venture,4,GIC,"GIC, Ribbit Capital, Thrive Capital",3,,814
Series B - Litmus Automation,Litmus Automation,Series B,"$30,000,000.0",2022-09-13,Early Stage Venture,,Yes,Litmus provides the solution to transform critical edge data into actionable intelligence that can power maintenance.,"Artificial Intelligence, Industrial Automation, Information Technology, Internet of Things, Machine Learning, Oil and Gas, Predictive Analytics, SaaS, Software",,litmus.io,"San Jose, California, United States, North America",$1M to $10M,"$40,700,000.0",Early Stage Venture,6,Belden,Belden,1,,815
