Hub Name,Number of Organizations,Number of People,Number of Events,CB Rank (Hub),Description,Last Updated,Hub Type,Parent Organization,Disverity Spotlight (US Only),Industries,Industry Groups,Location,Location Type,Closed Year,Founded Year,Funding Status,Investment Stage,Investor Type,Number of Employees,Estimated Revenue Range,Number of Investors,Number of Lead Investors,Average Founded Date,Number of Non-Profit Companies,Number of For-Profit Companies,Percentage Non-Profit,Percentage Public Organizations,Number of IPOs,Average IPO Date,Percentage Delisted,Top Funding Types,Number of Funding Rounds,Median Number of Funding Rounds,Total Funding Amount,Median Total Funding Amount,Total Equity Funding Amount,Average Last Funding Date,Total Amount Raised in IPO,Median Amount Raised in IPO,Total IPO Valuation,Median IPO Valuation,Percentage Acquired,Number of Acquired Organizations,Number of Acquisitions,Total Acquired Price,Median Acquired Price,Top Investor Types,Number of Portfolio Companies,Number of Investments,Median Number of Investments,Number of Lead Investors,Median Number of Lead Investors,Number of Exits,Median Number of Exits,Number of Funds,Total Fund Raised,Number of Founders,Number of Founder Alumni,Number of Alumni,Average Rank,Average Trend Score (7D),Average Trend Score (30D),Average Trend Score (90D)
"Commercial Real Estate Companies With Less Than $10M in Revenue","6,013","999","32","628","Companies and startups in the commercial real estate space with less than $10m in revenue.","Sep 15, 2022 12:35 PM","Active, Industry, Company, Revenue Range","—","—","Commercial Real Estate","Real Estate","—","—","—","—","—","—","—","—","$1M to $10M","823","263","Mar 13, 1994","27","5,887","0%","1%","42","Nov 26, 2006",—,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Debt Financing,&nbsp;Series A,&nbsp;Series B","672","2","$6,565,861,455","$2,468,972","$5,051,873,071","Mar 13, 1994","$45,040,029","$9,531,834","$174,547,128","$87,273,564","1%","51","58","$2,396,148,172","$210,000,000","Private Equity Firm,&nbsp;Micro VC,&nbsp;Venture Capital,&nbsp;Corporate Venture Capital,&nbsp;Entrepreneurship Program","183","222","1","35","1","29","3","29","$7,669,642,965","1,365","0","0","1,277,985.98","1.29","1.29","1.8"
"Great Lakes Health Care Companies (Top 10K)","9,929","990","44","629","The top 10,000 companies and startups in Great Lakes in the health care space, by Crunchbase rank.","Sep 15, 2022 10:04 AM","Active, Industry, Company, Location","—","—","Health Care","Health Care","Great Lakes, North America","Regional Area","—","—","—","—","—","—",—,"6,180","2,316","Aug 25, 1990","1,187","8,106","12%","2%","306","Jan 3, 2010","0%","Venture - Series Unknown,&nbsp;Seed,&nbsp;Grant,&nbsp;Private Equity,&nbsp;Series A","6,823","2","$81,275,476,722","$1,419,798","$55,056,707,501","Aug 25, 1990","$16,397,379,184","$62,363,777","$72,541,345,245","$296,000,000","10%","1,108","1,749","$279,198,127,863","$200,000,000","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;University Program","1,607","2,084","2","808","2","499","1","87","$13,707,987,564","5,187","7","9","447,936.39","1.15","1.15","1.87"
"Greater New York Area Companies With Fewer Than 50 Employees (Top 10K)","9,944","996","926","630","The top 10,000 companies and startups in Greater New York Area with fewer than 50 employees, by Crunchbase rank.","Sep 15, 2022 10:37 AM","Active, Company, Employee Range, Location","—","—","—","—","Greater New York Area, United States, North America","Regional Area","—","—","—","—","—",—,—,"23,175","4,981","Oct 13, 2011","95","8,985","1%","2%","215","May 24, 2011","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Pre-Seed,&nbsp;Debt Financing","14,307","2","$68,927,948,725","$1,606,269","$58,198,390,582","Oct 13, 2011","$8,302,026,211","$51,000,000","$40,169,748,391","$189,250,000","9%","991","1,461","$82,180,663,435","$50,000,000","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Family Investment Office","19,772","26,695","15","5,958","5","4,609","4","882","$214,585,630,148","15,009","5","7","143,054.44","0.72","0.72","1.16"
"Leasing Companies With Fewer Than 1000 Employees","5,679","708","0","631","Companies and startups in the leasing space with fewer than 1000 employees.","Sep 15, 2022 11:40 AM","Active, Industry, Company, Employee Range","—","—","Leasing","Financial Services","—","—","—","—","—","—","—",—,—,"399","122","Mar 31, 1993","24","5,577","0%","3%","167","Aug 15, 2003","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Debt Financing,&nbsp;Pre-Seed,&nbsp;Series A","314","1","$14,806,111,561","$2,478,899","$4,252,536,554","Mar 31, 1993","$2,252,307,328","$272,700,000","$7,134,172,014","$1,619,000,000","1%","44","44","$57,971,899,034","$1,100,000,000","Private Equity Firm,&nbsp;Venture Capital","110","125","2","25","1","13","1","5","$360,531,244","674","0","0","1,271,863.37","1.3","1.3","1.9"
"Therapeutics Companies With Fewer Than 50 Employees","9,505","973","3","632","Companies and startups in the therapeutics space with fewer than 50 employees.","Sep 15, 2022 12:32 PM","Active, Industry, Company, Employee Range","—","—","Therapeutics","Health Care","—","—","—","—","—","—","—",—,—,"7,678","2,737","Aug 22, 2004","331","8,928","3%","3%","326","Mar 29, 2015","0%","Venture - Series Unknown,&nbsp;Seed,&nbsp;Series A,&nbsp;Grant,&nbsp;Series B","6,381","2","$67,001,109,373","$7,309,918","$62,235,531,750","Aug 22, 2004","$11,268,281,736","$66,000,000","$36,350,308,045","$345,000,000","2%","241","161","$22,212,117,368","$185,000,000","Venture Capital,&nbsp;Corporate Venture Capital,&nbsp;Accelerator,&nbsp;Incubator,&nbsp;Private Equity Firm","488","739","2","191","2","171","2","23","$2,446,762,868","4,276","0","0","1,176,680.32","1.19","1.19","1.81"
"United States Companies With Less Than $1M in Revenue (Top 10K)","9,756","971","2,547","633","The top 10,000 companies and startups in United States with less than $1m in revenue, by Crunchbase rank.","Sep 15, 2022 9:49 AM","Active, Company, Location, Revenue Range","—","—","—","—","United States, North America","Country","—","—","—","—","—","—","Less than $1M","22,245","5,338","Oct 1, 2010","122","9,242","1%","4%","440","Aug 16, 2012","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Grant,&nbsp;Pre-Seed","17,918","2","$94,739,602,134","$1,185,632","$77,525,030,623","Oct 1, 2010","$10,882,698,368","$40,000,000","$63,966,894,734","$136,521,572","14%","1,433","1,010","$61,424,263,699","$100,000,000","Venture Capital,&nbsp;Micro VC,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Angel Group","12,569","16,281","13","3,447","4","2,175","3","507","$36,764,416,569","15,151","1,262","2,535","130,116.29","0.6","0.6","0.87"
"Greater Chicago Area Companies With More Than $1M in Revenue (Top 10K)","9,553","960","225","634","The top 10,000 companies and startups in Greater Chicago Area with more than $1m in revenue, by Crunchbase rank.","Sep 15, 2022 12:33 PM","Active, Company, Location, Revenue Range","—","—","—","—","Greater Chicago Area, United States, North America","Regional Area","—","—","—","—","—","—","$1M to $10M","3,494","1,125","May 30, 1987","238","8,897","2%","1%","150","Apr 28, 2005","0%","Venture - Series Unknown,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Series A,&nbsp;Debt Financing","2,799","2","$53,940,886,938","$2,418,581","$33,456,764,854","May 30, 1987","$15,769,602,284","$132,812,500","$76,925,540,671","$988,000,000","5%","568","3,170","$135,899,833,044","$500,000,000","Private Equity Firm,&nbsp;Venture Capital,&nbsp;Micro VC,&nbsp;Investment Bank,&nbsp;Accelerator","3,721","5,206","3","1,427","2","1,078","2","281","$221,279,478,394","4,386","7","9","549,450.79","1.27","1.27","1.97"
"Machinery Manufacturing Companies With More Than 50 Employees","9,028","964","1","635","Companies and startups in the machinery manufacturing space with more than 50 employees.","Sep 15, 2022 9:29 AM","Active, Industry, Company, Employee Range","—","—","Machinery Manufacturing","Manufacturing","—","—","—","—","—","—","—",—,—,"657","253","May 19, 1967","10","8,740","0%","7%","661","Jul 15, 2003","0%","Private Equity,&nbsp;Venture - Series Unknown,&nbsp;Grant,&nbsp;Post-IPO Equity,&nbsp;Debt Financing","521","1","$13,059,697,070","$55,372","$6,029,498,257","May 19, 1967","$3,488,699,718","$113,436,912","$9,650,178,739","$536,939,086","6%","674","960","$76,630,474,731","$130,081,201","Venture Capital,&nbsp;Corporate Venture Capital,&nbsp;Private Equity Firm","190","218","1","64","1","37","1","2",—,"861","0","0","1,036,695.52","1.21","1.21","1.97"
"Health Care Companies With Fewer Than 10 Employees (Top 10K)","9,852","989","216","636","The top 10,000 companies and startups in the health care space with fewer than 10 employees, by Crunchbase rank.","Sep 15, 2022 12:19 PM","Active, Industry, Company, Employee Range","—","—","Health Care","Health Care","—","—","—","—","—","—","—",—,—,"17,816","5,938","Nov 4, 2013","69","8,988","1%","2%","241","Mar 16, 2014","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Grant,&nbsp;Pre-Seed,&nbsp;Series A","17,134","2","$43,768,212,761","$749,099","$38,706,031,245","Nov 4, 2013","$3,874,519,231","$20,000,000","$13,252,130,475","$114,466,000","4%","448","359","$18,453,624,946","$97,933,681","Venture Capital,&nbsp;Micro VC,&nbsp;Private Equity Firm,&nbsp;Corporate Venture Capital,&nbsp;Accelerator","3,774","5,185","14","1,350","4","893","4","212","$15,844,665,004","14,402","17","41","153,495.95","0.61","0.61","0.81"
"Texas Manufacturing Companies","6,225","917","5","637","Companies and startups in Texas in the manufacturing space.","Sep 15, 2022 10:16 AM","Active, Industry, Company, Location","—","—","Manufacturing","Manufacturing","Texas, United States, North America","State/Region","—","—","—","—","—","—",—,"789","282","Apr 3, 1986","11","6,044","0%","1%","98","Feb 12, 2003","0%","Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Seed,&nbsp;Debt Financing,&nbsp;Series A","909","1","$44,025,375,225","$822,246","$11,864,058,510","Apr 3, 1986","$8,332,204,000","$120,600,000","$13,158,216,576","$812,100,000","9%","598","637","$98,869,199,973","$163,900,000","Venture Capital","44","49","1","10","1","12","1","0",—,"1,024","0","0","988,917.29","1.29","1.29","1.99"
"Software Companies With Less Than $1B in Revenue (Top 10K)","9,974","953","642","638","The top 10,000 companies and startups in the software space with less than $1b in revenue, by Crunchbase rank.","Sep 15, 2022 10:53 AM","Active, Industry, Company, Revenue Range","—","—","Software","Software","—","—","—","—","—","—","—","—","$500M to $1B","54,036","16,775","Jul 26, 2011","31","9,821","0%","5%","613","Nov 15, 2012","1%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Series B,&nbsp;Private Equity","34,716","3","$439,022,987,318","$7,559,123","$391,867,671,829","Jul 26, 2011","$63,114,680,781","$115,050,000","$526,759,387,623","$820,471,225","23%","2,499","6,674","$336,401,789,260","$186,505,272","Venture Capital,&nbsp;Corporate Venture Capital,&nbsp;Accelerator,&nbsp;Private Equity Firm,&nbsp;Incubator","5,304","7,083","1","1,777","1","1,154","1","160","$20,625,393,075","20,628","3","12","40,412.91","0.71","0.71","1.01"
"Real Estate Investment Companies With More Than $1M in Revenue","4,799","1,009","34","639","Companies and startups in the real estate investment space with more than $1m in revenue.","Sep 15, 2022 11:12 AM","Active, Industry, Company, Revenue Range","—","—","Real Estate Investment","Financial Services, Real Estate","—","—","—","—","—","—","—","—","$1M to $10M","532","168","Oct 4, 1995","22","4,624","0%","6%","282","Jan 24, 2006","0%","Venture - Series Unknown,&nbsp;Seed,&nbsp;Debt Financing,&nbsp;Post-IPO Equity,&nbsp;Post-IPO Debt","510","1","$29,230,858,720","$6,619,011","$13,056,729,174","Oct 4, 1995","$5,131,100,000","$480,000,000","$19,336,500,000","$3,000,000,000","1%","35","191","$51,416,599,936","$3,100,000,000","Private Equity Firm,&nbsp;Venture Capital,&nbsp;Investment Bank,&nbsp;Corporate Venture Capital,&nbsp;Family Investment Office","633","761","1","250","1","154","1","98","$61,333,862,376","1,228","0","0","1,096,127.25","1.35","1.35","1.93"
"Asia Companies With Fewer Than 50 Employees (Top 10K)","9,973","1,011","1,079","640","The top 10,000 companies and startups in Asia with fewer than 50 employees, by Crunchbase rank.","Sep 15, 2022 12:30 PM","Active, Company, Employee Range, Location","—","—","—","—","Asia","Continent","—","—","—","—","—",—,—,"42,670","12,530","Mar 31, 2015","39","9,245","0%","3%","349","Jul 2, 2015","0%","Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Pre-Seed","23,164","2","$198,075,148,051","$2,939,695","$178,971,962,328","Mar 31, 2015","$6,149,341,540","$40,000,000","$33,214,539,769","$220,012,997","5%","477","389","$8,971,888,958","$27,126,550","Venture Capital,&nbsp;Micro VC,&nbsp;Corporate Venture Capital,&nbsp;Accelerator,&nbsp;Private Equity Firm","13,629","18,521","3","6,047","7","1,780","4","474","$78,592,302,441","16,013","0","0","54,441.26","0.69","0.69","1.03"
"Private Equity Firms with Investments in Washington DC Metro Area","503","190","26","640","Private equity firms that made investments in companies headquartered in Washington DC Metro Area.","Sep 15, 2022 11:46 AM","Active, Investments in Location, Investor Type","—","—","—","—","Washington DC Metro Area, United States, North America","Regional Area","—","—","—","—",—,"—",—,"84","37","Feb 16, 1997","1","81","0%","5%","29","Apr 8, 2005","1%","Seed,&nbsp;Grant,&nbsp;Undisclosed,&nbsp;Post-IPO Debt,&nbsp;Debt Financing","70","1","$7,508,471,467","$18,500,000","$1,874,071,467","Feb 16, 1997","$11,322,349,225","$495,196,811","$28,711,538,590","$2,298,468,798","2%","12","4,110","$2,310,100,000","$160,100,000","Micro VC,&nbsp;Incubator,&nbsp;Hedge Fund,&nbsp;Venture Debt,&nbsp;Fund Of Funds","23,113","30,835","19","12,571","9","9,068","7","1,337","$2,125,684,873,288","675",—,"1","225,421.26","0.73","0.73","0.85"
"Software Companies With Less Than $500M in Revenue (Top 10K)","9,956","963","629","641","The top 10,000 companies and startups in the software space with less than $500m in revenue, by Crunchbase rank.","Sep 15, 2022 9:40 AM","Active, Industry, Company, Revenue Range","—","—","Software","Software","—","—","—","—","—","—","—","—","$100M to $500M","53,565","16,659","Sep 14, 2011","31","9,803","0%","5%","565","Apr 20, 2013","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Series B,&nbsp;Private Equity","34,552","3","$399,368,363,319","$7,427,599","$366,476,733,310","Sep 14, 2011","$54,251,251,831","$106,800,000","$408,321,014,269","$737,787,970","23%","2,461","5,684","$287,179,005,125","$169,750,000","Venture Capital,&nbsp;Corporate Venture Capital,&nbsp;Accelerator,&nbsp;Private Equity Firm,&nbsp;Incubator","5,073","6,818","1","1,716","1","1,061","1","157","$20,225,478,075","20,580","2","10","40,953.77","0.71","0.71","1"
"Insurance Companies (Top 10K)","9,847","991","67","642","The top 10,000 companies and startups in the insurance space, by Crunchbase rank.","Sep 15, 2022 9:18 AM","Active, Industry, Company","—","—","Insurance","Financial Services","—","—","—","—","—","—","—","—",—,"6,946","2,268","Apr 17, 1986","265","9,113","3%","4%","472","Oct 27, 2005","1%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Private Equity,&nbsp;Pre-Seed","4,657","1","$106,788,134,589","$2,685,375","$89,605,380,543","Apr 17, 1986","$46,705,890,793","$176,250,000","$206,607,202,728","$823,550,000","13%","1,435","4,241","$352,587,336,379","$395,500,000","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Investment Bank,&nbsp;Accelerator,&nbsp;Micro VC","3,876","4,681","2","1,595","2","893","1","142","$56,157,096,460","5,508","2","3","325,907.89","1.13","1.13","1.81"
"Insurance Companies With More Than 10 Employees (Top 10K)","9,950","988","58","643","The top 10,000 companies and startups in the insurance space with more than 10 employees, by Crunchbase rank.","Sep 15, 2022 12:26 PM","Active, Industry, Company, Employee Range","—","—","Insurance","Financial Services","—","—","—","—","—","—","—",—,—,"5,655","1,888","May 23, 1982","323","9,209","3%","4%","457","Jul 30, 2005","0%","Venture - Series Unknown,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Series A,&nbsp;Series B","3,566","2","$101,318,208,932","$5,097,761","$86,699,160,331","May 23, 1982","$43,840,191,666","$190,000,000","$205,202,294,816","$988,000,000","11%","1,258","4,140","$332,945,196,075","$427,500,000","Investment Bank,&nbsp;Venture Capital,&nbsp;Private Equity Firm,&nbsp;Corporate Venture Capital,&nbsp;Micro VC","3,043","3,704","2","1,197","2","762","1","103","$53,962,967,512","4,371","2","3","404,364.11","1.2","1.2","1.9"
"Professional Services Companies With More Than $1M in Revenue (Top 10K)","9,426","978","9","644","The top 10,000 companies and startups in the professional services space with more than $1m in revenue, by Crunchbase rank.","Sep 15, 2022 9:13 AM","Active, Industry, Company, Revenue Range","—","—","Professional Services","Other","—","—","—","—","—","—","—","—","$1M to $10M","1,374","443","May 24, 1989","237","8,907","3%","1%","78","Jan 14, 2009","0%","Venture - Series Unknown,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Grant,&nbsp;Series A","1,082","1","$21,916,297,237","$1,506,659","$16,032,081,050","May 24, 1989","$5,318,714,022","$170,000,000","$27,959,701,757","$557,988,632","3%","303","1,179","$25,058,522,937","$100,000,000","Private Equity Firm,&nbsp;Venture Capital,&nbsp;Incubator,&nbsp;Government Office,&nbsp;Investment Bank","795","918","1","373","1","265","1","30","$16,377,976,745","2,462","4","6","617,076.08","1.47","1.47","2.27"
"Ohio Companies With Fewer Than 1000 Employees (Top 10K)","9,503","981","49","645","The top 10,000 companies and startups in Ohio with fewer than 1000 employees, by Crunchbase rank.","Sep 15, 2022 8:56 AM","Active, Company, Employee Range, Location","—","—","—","—","Ohio, United States, North America","State/Region","—","—","—","—","—",—,—,"2,343","861","Apr 6, 1984","397","8,683","4%","1%","74","Dec 24, 2004","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Grant,&nbsp;Private Equity,&nbsp;Series A","2,639","1","$21,802,506,785","$700,344","$14,962,063,796","Apr 6, 1984","$3,028,498,101","$98,700,000","$16,072,406,004","$1,047,000,000","8%","849","775","$39,769,159,677","$108,000,000","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Investment Bank,&nbsp;Family Investment Office","1,003","1,331","2","498","2","226","2","73","$5,100,227,953","3,374","0","0","549,977.45","1.36","1.36","2.16"
"Advertising Companies (Top 10K)","9,909","994","144","646","The top 10,000 companies and startups in the advertising space, by Crunchbase rank.","Sep 15, 2022 12:29 PM","Active, Industry, Company","—","—","Advertising","Advertising, Sales and Marketing","—","—","—","—","—","—","—","—",—,"13,041","3,802","Feb 4, 2006","20","9,651","0%","3%","378","Feb 11, 2011","1%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Angel,&nbsp;Pre-Seed","10,003","2","$92,237,942,046","$1,296,853","$68,875,656,777","Feb 4, 2006","$16,017,856,148","$111,000,000","$90,386,549,854","$414,400,000","16%","1,814","4,532","$171,038,683,145","$87,216,950","Venture Capital,&nbsp;Corporate Venture Capital,&nbsp;Micro VC,&nbsp;Incubator,&nbsp;Accelerator","2,864","3,304","2","978","1","657","1","21","$2,222,639,198","12,244","1","3","186,338.08","0.75","0.75","1.15"
"Professional Services Companies With More Than 10 Employees (Top 10K)","9,955","987","17","647","The top 10,000 companies and startups in the professional services space with more than 10 employees, by Crunchbase rank.","Sep 15, 2022 12:50 PM","Active, Industry, Company, Employee Range","—","—","Professional Services","Other","—","—","—","—","—","—","—",—,—,"2,473","844","Nov 15, 1992","279","9,368","3%","1%","146","Oct 6, 2009","0%","Venture - Series Unknown,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Series A,&nbsp;Angel","1,988","1","$27,645,087,361","$1,447,304","$21,415,858,083","Nov 15, 1992","$6,974,875,607","$122,898,811","$29,522,384,707","$365,661,558","6%","738","1,659","$56,968,858,156","$93,358,449","Private Equity Firm,&nbsp;Venture Capital,&nbsp;Incubator,&nbsp;Investment Bank,&nbsp;Accelerator","886","1,016","1","406","1","282","1","34","$24,274,305,066","3,773","13","20","461,521.69","1.38","1.38","2.26"
"Leasing Companies With Less Than $500M in Revenue","4,437","483","0","648","Companies and startups in the leasing space with less than $500m in revenue.","Sep 15, 2022 1:04 PM","Active, Industry, Company, Revenue Range","—","—","Leasing","Financial Services","—","—","—","—","—","—","—","—","$100M to $500M","216","70","Jan 7, 1992","15","4,375","0%","3%","142","Oct 21, 2004",—,"Venture - Series Unknown,&nbsp;Seed,&nbsp;Debt Financing,&nbsp;Private Equity,&nbsp;Undisclosed","162","2","$6,983,241,254","$5,638,609","$4,680,228,049","Jan 7, 1992","$527,500,000","$87,000,000","$256,633,800","$256,633,800","0%","17","34","$31,114,077,855","$554,038,927","Venture Capital","48","50","3","12","1","10","3","5","$360,531,244","444","0","0","1,294,616.73","1.37","1.37","1.96"
"Food and Beverage Companies With Less Than $1B in Revenue (Top 10K)","9,985","968","54","649","The top 10,000 companies and startups in the food and beverage space with less than $1b in revenue, by Crunchbase rank.","Sep 15, 2022 10:07 AM","Active, Industry, Company, Revenue Range","—","—","Food and Beverage","Food and Beverage","—","—","—","—","—","—","—","—","$500M to $1B","7,355","2,295","Oct 18, 1986","68","9,684","1%","3%","366","Jan 29, 2008","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Series A,&nbsp;Equity Crowdfunding","6,011","2","$62,567,783,804","$1,237,635","$50,414,667,385","Oct 18, 1986","$13,333,982,826","$105,000,000","$63,336,746,809","$832,000,000","5%","618","809","$75,023,983,100","$200,000,000","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Corporate Venture Capital","1,814","2,254","2","623","3","179","2","90","$10,691,681,444","5,826","0","0","439,366.51","1.23","1.23","2.07"
"Food and Beverage Companies With Less Than $500M in Revenue (Top 10K)","9,985","994","53","650","The top 10,000 companies and startups in the food and beverage space with less than $500m in revenue, by Crunchbase rank.","Sep 15, 2022 10:08 AM","Active, Industry, Company, Revenue Range","—","—","Food and Beverage","Food and Beverage","—","—","—","—","—","—","—","—","$100M to $500M","7,248","2,257","May 16, 1987","69","9,690","1%","3%","330","Oct 6, 2008","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Private Equity,&nbsp;Equity Crowdfunding","5,945","2","$54,272,652,150","$1,209,533","$46,003,881,860","May 16, 1987","$9,184,911,821","$100,950,000","$45,835,115,363","$690,000,000","5%","583","664","$61,000,734,659","$180,000,000","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Corporate Venture Capital","1,806","2,245","2","619","3","177","2","90","$10,691,681,444","5,779","0","0","450,080.3","1.24","1.24","2.07"
"Greater Miami Area Companies With More Than $1M in Revenue (Top 10K)","9,772","984","131","651","The top 10,000 companies and startups in Greater Miami Area with more than $1m in revenue, by Crunchbase rank.","Sep 15, 2022 12:55 PM","Active, Company, Location, Revenue Range","—","—","—","—","Greater Miami Area, Florida, United States","Regional Area","—","—","—","—","—","—","$1M to $10M","1,356","442","Sep 24, 1997","142","9,256","1%","1%","96","Jan 6, 2007","0%","Venture - Series Unknown,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Debt Financing,&nbsp;Series A","1,442","1","$38,754,923,885","$1,470,814","$25,521,866,674","Sep 24, 1997","$4,741,062,000","$70,000,000","$18,902,261,083","$448,000,000","2%","272","1,136","$20,190,000,854","$395,000,000","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Investment Bank,&nbsp;Micro VC,&nbsp;Family Investment Office","1,132","1,334","2","361","2","273","2","77","$40,034,483,582","2,772","0","2","935,544.24","1.21","1.21","1.69"
"Leasing Companies With Less Than $1B in Revenue","4,459","493","0","652","Companies and startups in the leasing space with less than $1b in revenue.","Sep 15, 2022 12:41 PM","Active, Industry, Company, Revenue Range","—","—","Leasing","Financial Services","—","—","—","—","—","—","—","—","$500M to $1B","216","70","Nov 5, 1991","15","4,396","0%","3%","147","Oct 25, 2004",—,"Venture - Series Unknown,&nbsp;Seed,&nbsp;Debt Financing,&nbsp;Private Equity,&nbsp;Undisclosed","162","2","$6,983,241,254","$5,638,609","$4,680,228,049","Nov 5, 1991","$807,500,000","$183,500,000","$2,376,633,800","$1,188,316,900","0%","18","43","$31,114,077,855","$554,038,927","Venture Capital","53","57","4","14","1","12","2","5","$360,531,244","447","0","0","1,293,059.41","1.37","1.37","1.96"
"Electronics Companies With More Than 10 Employees (Top 10K)","10,000","934","44","653","The top 10,000 companies and startups in the electronics space with more than 10 employees, by Crunchbase rank.","Sep 15, 2022 9:18 AM","Active, Industry, Company, Employee Range","—","—","Electronics","Consumer Electronics, Hardware","—","—","—","—","—","—","—",—,—,"7,300","2,322","May 17, 1987","28","9,760","0%","10%","1,124","Mar 7, 2005","1%","Venture - Series Unknown,&nbsp;Series A,&nbsp;Seed,&nbsp;Grant,&nbsp;Private Equity","5,938","1","$239,191,193,174","$2,558,071","$105,391,142,483","May 17, 1987","$26,037,816,835","$115,000,000","$108,769,318,775","$951,498,746","13%","1,502","3,616","$332,190,718,673","$164,600,000","Venture Capital,&nbsp;Corporate Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Co-Working Space","1,383","1,559","1","486","1","352","1","17","$2,319,313,957","5,081","3","3","355,148.58","1.14","1.14","1.88"
"Private Greater Miami Area Companies (Top 10K)","9,928","977","160","654","The top 10,000 private companies and startups in Greater Miami Area, by Crunchbase rank.","Sep 15, 2022 11:14 AM","Active, Company, Location","—","—","—","—","Greater Miami Area, Florida, United States","Regional Area","—","—","—","—","—","—",—,"3,225","888","Oct 8, 2001","168","9,198","2%",—,"0",—,—,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Pre-Seed,&nbsp;Private Equity,&nbsp;Series A","2,825","1","$67,611,543,924","$717,351","$56,935,393,740","Oct 8, 2001",—,—,—,—,"7%","765","1,047","$44,766,634,009","$160,000,000","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Angel Group,&nbsp;Hedge Fund,&nbsp;Investment Bank","1,687","2,037","2","526","2","363","2","131","$46,269,621,866","5,020","41","76","486,294.91","1.33","1.33","2.01"
"Greater Chicago Area Companies With More Than 10 Employees (Top 10K)","9,925","962","238","655","The top 10,000 companies and startups in Greater Chicago Area with more than 10 employees, by Crunchbase rank.","Sep 15, 2022 9:06 AM","Active, Company, Employee Range, Location","—","—","—","—","Greater Chicago Area, United States, North America","Regional Area","—","—","—","—","—",—,—,"4,338","1,403","Jan 11, 1986","325","9,090","3%","2%","243","Nov 18, 2003","0%","Venture - Series Unknown,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Series A,&nbsp;Debt Financing","3,348","1","$72,350,110,126","$3,105,968","$46,980,422,752","Jan 11, 1986","$21,402,368,808","$106,500,000","$90,577,745,068","$702,131,179","11%","1,281","3,815","$289,613,370,910","$399,800,000","Private Equity Firm,&nbsp;Venture Capital,&nbsp;Accelerator,&nbsp;Investment Bank,&nbsp;Incubator","3,215","4,284","2","1,235","2","956","2","247","$217,469,532,574","4,967","8","12","446,034.41","1.24","1.24","2.04"
